,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C?te d'Ivoire,Croatia,Cuba,Cura?ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R?union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Afghanistan,,,,,,,,,9,,,  37 482,  8 620,186,,656,,,282,  10 638,,,,,1,,,,69,,,322,,,,,,  45 733,,,,,15,,,,116,,,,4,,,,,10,427,,,  12 260,,,,55,235,,,,12,,,,,  4 810,  4 761,,,,,,  99 638,,,  6 331,,,,,,,,,,,,  1 333,10,  8 086,, 2 348 369,312,148,,  2 539,  6 568,,,66,,,,  2 669,,,20,,,,320,,21,,,,498,,,,,,,,,,,,,,,,,,39,,,  33 852,,  2 540,61,,,,,  13 238,, 1 618 687,,,,,,  1 220,141,,,  1 571,,,,,  5 095,,,,,,,,,,  364 304,,,,,,,153,25,,,83,,458,128,,,,,  29 085,  4 613,  1 791,  7 587,1,,,,,,,,  13 601,,,,,  2 112,  7 590,  68 256,,  63 255,,,,,,,,,,,
Albania,,,,,,,,,66,,,  3 334,  3 147,,,,,,,  7 517,,,,,1,,,,,,,  1 134,,,,,,  15 265,,,,,25,,,,49,,,,4,,173,103,,309,314,,,321,,,,71,134,,,,7,,,,,382,  6 695,,,,,,  18 043,,,  437 356,,,,,,,,,,,,226,41,,,,,297,,,  447 586,,,,,,,,,,5,,,,301,,,301,,,,,,90,,,,,,,,,,  2 754,,,,,,,,  1 192,,,,,,,,972,,,,,,,,116,125,49,,,,,,130,234,,,,,,,,31,,,,467,,,,,93,152,,,164,,  1 938,,,,,,  2 161,  2 008,,,,  67 799,,,,,,,  3 325,,,,,,,  14 688,,  81 196,,,,,19,,,,,,
Algeria,,,,,,,,,104,,,  1 561,  1 290,,,,,,53,  12 054,,,,,3,,,,219,,,369,,,,,,  57 024,,,,,44,,,,26,,,,12,,56,44,,39,699,,,955,,,,48,987,,,,13,,,,,  1 009, 1 430 656,83,681,71,,,  23 272,13,,  1 102,,,156,,,,,,,,,681,35,,,,,588,,  45 680,  22 471,,,363,,,,,,,14,,,,  3 589,,,100,,,,,  4 305,61,,102,  1 634,,,96,,,,,,  13 664,,,443,,,  3 975,802,,113,460,,,,  1 215,,,,,,,19,462,583,223,,,,,,146,778,,,,,,,,,,,  4 050,53,,,,,102,30,,,457,,  55 306,,,,,,  3 004,  9 600,,134,,,,,,,,  10 443,648,,,,,,,  26 826,,  17 700,,,,,95,,,78,,,
American Samoa,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,  1 588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,1,,,0,2,,,,,,,,,,,,0,,,,12,,,0,,,,,,0,,,,,8,,,,46,,,,,,,,,,0,,,1,,,,,,,,,,,,,,1,982,,,,,,,,,4,,,,,,,,,,,,,4,,,,,2,,,130,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 900,,,,,,,54,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,
Angola,,,,,,,,,9,,,580,341,,,,,,,  4 047,,,,,6,,,  3 550,  7 694,,,7,,,370,,  1 964,  2 991,,,,,56,,,,54,,  41 238,,3,,,92,,,171,,  185 205,159,,,,42,32,,,346,3,,,,,553,  21 287,,,717,,,,,,9,,,,,,,,,,,,81,38,,,,,480,,,  1 869,,,,,,,,,,1,,,,,,,,,,,,517,,,,,,,75,,,,,,,,,  33 980,,,  5 321,,,,,,,,486,,,,,,,15,76,58,  151 273,,,,,,,511,,,,,,,,,358,,,,,,,,25,,,,  30 268,,  3 553,,,,,122,758,  6 716,,,,,,,,,,,,,,,,,,  15 712,  1 249,  12 683,,,,,188,,,,,  17 464,
Anguilla,,,,,,,,39,,,,,,,,,,,,,,,,,,28,,,,,,36,,,,,,82,,,,,15,,,,42,,,,,,,,42,,,,,,,19,34,,,,,,,,,,,,10,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,37,,,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,,,972,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,11,7,,14,,  21 664,194,,,,,,,0,25,,,,752,,5,,,,,,  2 677,,,,,13,,,,40,,,,,,,,54,,0,,,3,,442,179,,19,,,,1,,,,,1,61,,,,,,,,,29,,38,,,,,,19,,,,,,,,,,2,,,23,153,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,116,,,,429,,,32,,,119,,,,,,,,,,,,,,,,,,,,,,,,,404,118,,58,,,,,,,,,,534,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,  3 995,,  28 558,  4 587,,,,,,,,,,
Argentina,,,,,640,,,,,,,  15 423,  1 523,,111,,,,102,550,,,,,  42 691,3,,,  34 699,,,119,,,4,,,  21 350,11,,,,  70 415,,,,  3 199,,,,  1 504,,200,157,21,93,180,,,  1 224,,,  1 071,  5 399,279,216,,,13,,,26,,462,  12 946,,,,,,  18 537,,,641,,,,,554,,,,964,,140,396,36,,,,,327,,  39 343,  73 183,,  2 678,,,,,,,,18,,,,,26,57,39,,,,,,12,,,66,,,  18 728,,,,,,,,,45,,,  3 170,,  1 770,270,,,,,  1 086,,,,  2 550,,  57 056,  11 354,148,273,  1 278,  1 180,,,,,,252,,,,,,,,69,,,,49,,,,,83,437,,,  2 419,,  250 778,,,,,,  3 184,  8 863,,,,,,,,,,,140,,,,,,,  11 339,,  179 639,,  22 521,,,  9 944,,,,,,
Armenia,,,,,,,,,561,,,  1 371,  3 051,  148 503,,,,,  5 728,  10 433,,,,,5,,,,63,,,  1 496,,,,,,  3 919,,,,,12,,,,,,,,7,,,,,  1 309,  2 020,,,685,,,,37,179,,,,641,,,,,117,  19 083,,,,,  1 980,  12 609,,,  14 287,,,,,,,,,,,,190,6,,,  2 479,,53,,,  1 256,,,28,  9 144,,,,  2 380,,773,,,,255,,574,,,,,,,32,,,,,,132,,,,,,,,,57,,,850,,,,,,,,305,,,,,,,,135,  2 105,97,,,,,,27,  527 287,,,,,,,,,,,,158,,,,,144,,,,,,  9 516,,,,,,  2 520,741,,200,,,,,,,,,796,  7 009,,,,  47 307,,  1 790,,  84 953,,,  5 870,,34,,,,,,
