Country_Name,GDP_1990
Aruba,
Afghanistan,
Angola,901.0473674
Albania,639.4638993
Andorra,18877.81332
Arab World,2007.183603
United Arab Emirates,27989.3013
Argentina,4318.774568
Armenia,636.68069
American Samoa,
Antigua and Barbuda,6325.241017
Australia,18221.69121
Austria,21628.76023
Azerbaijan,1237.324492
Burundi,201.6876563
Belgium,20710.66393
Benin,391.8934294
Burkina Faso,351.9793628
Bangladesh,298.144992
Bulgaria,2366.529821
Bahrain,8528.759767
"Bahamas, The",12350.88048
Bosnia and Herzegovina,
Belarus,1704.740304
Belize,2202.322556
Bermuda,26841.51974
Bolivia,709.9486541
Brazil,3071.627953
Barbados,7728.507914
Brunei Darussalam,13701.89704
Bhutan,559.8216186
Botswana,2747.157988
Central African Republic,490.3995176
Canada,21371.2911
Central Europe and the Baltics,2312.627681
Switzerland,38332.15172
Channel Islands,
Chile,2401.525181
China,317.8851981
Cote d'Ivoire,887.3854068
Cameroon,923.8812243
"Congo, Dem. Rep.",267.421309
"Congo, Rep.",1172.757072
Colombia,1175.149339
Comoros,602.2747788
Cabo Verde,899.2987882
Costa Rica,2391.302218
Caribbean small states,2965.279407
Cuba,2706.975486
Curacao,
Cayman Islands,
Cyprus,9641.575273
Czech Republic,3901.525437
Germany,22219.57253
Djibouti,768.7999906
Dominica,2344.944482
Denmark,26891.44164
Dominican Republic,984.6914396
Algeria,2394.420657
East Asia & Pacific (excluding high income),413.4578905
Early-demographic dividend,891.8746011
East Asia & Pacific,2586.382663
Europe & Central Asia (excluding high income),2407.848657
Europe & Central Asia,10478.69363
Ecuador,1491.402557
"Egypt, Arab Rep.",764.7606811
Euro area,18847.21894
Eritrea,
Spain,13767.38147
Estonia,
Ethiopia,253.3479607
European Union,15854.41926
Fragile and conflict affected situations,
Finland,28380.54891
Fiji,1834.994609
France,21795.23783
Faroe Islands,
"Micronesia, Fed. Sts.",1528.064694
Gabon,6250.643217
United Kingdom,19095.467
Georgia,1614.640122
Ghana,402.5888817
Gibraltar,
Guinea,441.925744
"Gambia, The",345.8546784
Guinea-Bissau,230.9791211
Equatorial Guinea,297.1128769
Greece,9600.18513
Grenada,2295.976262
Greenland,18326.92852
Guatemala,835.2990073
Guam,
Guyana,550.5930501
High income,18841.57003
"Hong Kong SAR, China",13485.54489
Honduras,621.7939245
Heavily indebted poor countries (HIPC),365.3364428
Croatia,
Haiti,
Hungary,
IBRD only,1013.932104
IDA & IBRD total,870.8941315
IDA total,354.0033553
IDA blend,385.4107292
Indonesia,585.0010311
IDA only,337.7318404
Isle of Man,
India,375.1520193
Not classified,
Ireland,14045.18673
"Iran, Islamic Rep.",2222.094543
Iraq,10291.8602
Iceland,25592.14715
Israel,11264.01874
Italy,20757.08875
Jamaica,1924.810344
Jordan,1238.666707
Japan,25123.63179
Kazakhstan,1647.463231
Kenya,365.6178212
Kyrgyz Republic,608.9451631
Cambodia,
Kiribati,549.7719777
St. Kitts and Nevis,5112.052615
"Korea, Rep.",6642.451218
Kuwait,8950.598095
Latin America & Caribbean (excluding high income),2550.103823
Lao PDR,203.764751
Lebanon,1050.116686
Liberia,182.7971869
Libya,6570.960192
St. Lucia,2874.4579
Latin America & Caribbean,2620.380117
Least developed countries: UN classification,307.9777476
Low income,299.2165684
Liechtenstein,49450.90414
Sri Lanka,470.3449569
Lower middle income,473.3296067
Low & middle income,854.6848123
Lesotho,373.334844
Late-demographic dividend,1095.060509
Lithuania,
Luxembourg,34547.71641
Latvia,
"Macao SAR, China",8312.167038
St. Martin (French part),
Morocco,1199.195825
Monaco,84289.55954
Moldova,
Madagascar,266.8922556
Maldives,986.646813
Middle East & North Africa,2135.560818
Mexico,3068.702312
Marshall Islands,1659.112051
Middle income,901.1569504
"Macedonia, FYR",2240.140336
Mali,316.1858426
Malta,7191.923603
Myanmar,
Middle East & North Africa (excluding high income),
Montenegro,
Mongolia,1172.443066
Northern Mariana Islands,
Mozambique,187.8615594
Mauritania,503.8387137
Mauritius,2506.179312
Malawi,199.8920812
Malaysia,2417.436926
North America,23696.37127
Namibia,1981.26787
New Caledonia,14800.02869
Niger,313.5376232
Nigeria,321.6683709
Nicaragua,243.5613194
Netherlands,21019.12567
Norway,28242.94374
Nepal,193.5557994
Nauru,
New Zealand,13663.2011
OECD members,17472.9579
Oman,6448.134801
Other small states,3098.207215
Pakistan,371.8177009
Panama,2603.780255
Peru,1210.005978
Philippines,715.3106777
Palau,5095.63258
Papua New Guinea,774.3639919
Poland,1731.209531
Pre-demographic dividend,403.166152
Puerto Rico,8652.507492
"Korea, Dem. PeopleÅEEs Rep.",
Portugal,7885.394019
Paraguay,1351.578779
West Bank and Gaza,
Pacific island small states,1414.347122
Post-demographic dividend,19008.79381
French Polynesia,16036.73088
Qatar,15447.59553
Romania,1680.705623
Russian Federation,3485.112202
Rwanda,351.2778169
South Asia,363.6563391
Saudi Arabia,7137.392024
Sudan,481.4966602
Senegal,760.7787271
Singapore,11864.28021
Solomon Islands,970.0689337
Sierra Leone,165.2532318
