Country_Name,Happy_Planet_Index_2015
Afghanistan,20.2
Albania,36.8
Algeria,33.3
Argentina,35.2
Armenia,25.7
Australia,21.2
Austria,30.5
Bangladesh,38.4
Belarus,21.7
Belgium,23.7
Belize,33.8
Benin,13.4
Bhutan,28.6
Bolivia,23.3
Bosnia and Herzegovina,25.3
Botswana,16.6
Brazil,34.3
Bulgaria,20.4
Burkina Faso,17.9
Burundi,15.6
Cambodia,25.6
Cameroon,16.7
Canada,23.9
Chad,12.8
Chile,31.7
China,25.7
Colombia,40.7
Comoros,23.1
Costa Rica,44.7
Cote d'Ivoire,14.4
Croatia,30.2
Cyprus,30.7
Czech Republic,27.3
Denmark,32.7
Djibouti,16.4
Dominican Republic,30.3
Ecuador,37
Egypt,23.8
El Salvador,35.6
Estonia,17.9
Ethiopia,26.7
Finland,31.3
France,30.4
Gabon,17.5
Georgia,31.1
Germany,29.8
Ghana,21.4
Greece,23.6
Guatemala,34.2
Guinea,15.9
Haiti,28.6
Honduras,27.2
Hong Kong,16.8
Hungary,26.4
Iceland,31.1
India,29.2
Indonesia,35.7
Iran,24
Iraq,26.5
Ireland,30
Israel,28.8
Italy,28.1
Jamaica,36.9
Japan,28.3
Kazakhstan,19.1
Kenya,24.2
Kyrgyzstan,33.1
Latvia,17.1
Lebanon,21.9
Lesotho,16.7
Liberia,22.2
Lithuania,21
Luxembourg,13.2
Macedonia,23.4
Malawi,22.1
Malaysia,30.3
Malta,29
Mauritania,18
Mauritius,27.4
Mexico,40.7
Mongolia,14.3
Montenegro,25.1
Morocco,32.7
Mozambique,23.7
Myanmar,24.7
Namibia,21.6
Nepal,30.5
Netherlands,35.3
New Zealand,31.3
Nicaragua,38.7
Niger,16.8
Nigeria,22.2
Norway,36.8
Oman,21.1
Pakistan,31.5
Palestine,34.5
Panama,39.5
Paraguay,23.3
Peru,34.6
Philippines,35
Poland,27.5
Portugal,24.8
Republic of Congo,18.8
Romania,28.8
Russia,18.7
Rwanda,19.6
Senegal,21.9
Serbia,29
Sierra Leone,15.3
Slovakia,28.2
Slovenia,24.6
South Africa,15.9
South Korea,24.8
Spain,36
Sri Lanka,33.8
Suriname,25.4
Swaziland,15.5
Sweden,28
Switzerland,34.3
Syria,19.1
Tajikistan,34.2
Tanzania,22.1
Thailand,37.3
Togo,13.2
Trinidad and Tobago,15.7
Tunisia,26.2
Turkey,26.4
Turkmenistan,14.6
Uganda,19.4
Ukraine,26.4
United Kingdom,31.9
United States of America,20.7
Uruguay,36.1
Uzbekistan,29.1
Vanuatu,40.6
Venezuela,33.6
Vietnam,40.3
Yemen,22.8
Zambia,25.2
Zimbabwe,22.1
