Country_Name,Human_Freedom_Index_2015
Hong Kong,9.056745202
Switzerland,8.832280493
New Zealand,8.674536839
Ireland,8.644867988
Denmark,8.623124782
Canada,8.611022923
United Kingdom,8.609463668
Australia,8.60826224
Finland,8.554741892
Netherlands,8.541528618
Luxembourg,8.529913566
Austria,8.52916968
Germany,8.493968017
Norway,8.489518597
Sweden,8.415801025
Malta,8.412332061
Belgium,8.379843562
Czech Republic,8.344026199
Portugal,8.317657152
Lithuania,8.313759652
Poland,8.299991522
Estonia,8.297431202
United States of America,8.270882308
Latvia,8.235969559
Iceland,8.217618423
Taiwan,8.181305892
Slovakia,8.116101785
Italy,8.086203145
Chile,8.083652633
Romania,8.062362037
France,8.053602213
Japan,8.044312314
Cyprus,8.025883499
Mauritius,8.018252675
"Korea, Republic of",7.983367927
Spain,7.951516137
Hungary,7.920179518
Costa Rica,7.910351625
Slovenia,7.900069713
Singapore,7.860964915
Bulgaria,7.85830343
Uruguay,7.82951196
Georgia,7.824685663
Montenegro,7.749655431
Croatia,7.746413952
Panama,7.674658029
Mongolia,7.522997765
Greece,7.473171238
Bahamas,7.469541063
Albania,7.451348323
Seychelles,7.412432087
Israel,7.36508147
Peru,7.363422872
Bosnia and Herzegovina,7.331250651
Suriname,7.321022185
Macedonia,7.317505812
Armenia,7.317255028
El Salvador,7.25757314
Ghana,7.246908325
Jamaica,7.204017757
Haiti,7.169602442
Fiji,7.169577566
Dominican Republic,7.15672202
Cambodia,7.083592519
Madagascar,7.048575284
Brunei,7.041285501
Serbia,7.019902504
Guatemala,7.007618695
Moldova,6.99332163
Namibia,6.98780889
Bolivia,6.978489626
Indonesia,6.965328301
Turkey,6.959429572
South Africa,6.923286198
Papua New Guinea,6.92065348
Nicaragua,6.8831928
Mexico,6.849863646
Paraguay,6.847855149
Benin,6.822966614
Bhutan,6.81973329
Trinidad and Tobago,6.818350738
Brazil,6.809887958
Tajikistan,6.803130078
Nepal,6.788491492
Barbados,6.783683747
Rwanda,6.782942665
India,6.755880079
Bahrain,6.754992797
Burkina Faso,6.752794809
Kenya,6.751381391
Jordan,6.737278949
Cape Verde,6.728797473
Botswana,6.704685371
Liberia,6.656820155
Lesotho,6.655394197
Kazakhstan,6.639534427
Ecuador,6.595962671
Kyrgyz Republic,6.584123908
Tanzania,6.570164606
Uganda,6.540003357
Honduras,6.533599984
Philippines,6.531389814
Zambia,6.520747804
Mozambique,6.520471087
Argentina,6.516125905
Malawi,6.512716893
Thailand,6.487404344
Lebanon,6.478794048
Laos,6.425689118
Cote d'Ivoire,6.415799145
Colombia,6.414169311
Senegal,6.407949682
Kuwait,6.407002885
Ukraine,6.406633148
Russia,6.393231329
Malaysia,6.390039512
Qatar,6.38466025
Guinea-Bissau,6.356034737
United Arab Emirates,6.355543668
Oman,6.319626229
East Timor,6.318692468
Burundi,6.257930558
Tunisia,6.232661961
Mali,6.211299307
"Gambia, The",6.198426338
Guyana,6.133185958
Cameroon,6.132605794
Vietnam,6.122543139
Azerbaijan,6.118161396
Sri Lanka,6.099167684
Morocco,6.08776647
Niger,6.043475594
Sierra Leone,6.027479612
Swaziland,5.93646068
Gabon,5.8503959
Togo,5.817974548
Bangladesh,5.813341626
Belize,5.799553878
"Congo, Republic of",5.757520112
Nigeria,5.750529793
China,5.627817292
Ethiopia,5.531529796
Mauritania,5.352699083
Saudi Arabia,5.30596374
Egypt,5.305875237
Chad,5.282739263
Pakistan,5.277011975
Zimbabwe,5.240960107
Guinea,5.215440566
Angola,5.186502527
"Congo, Democratic Republic of",5.088637123
Algeria,5.039580268
Myanmar,4.935929194
Venezuela,4.908852824
Central African Republic,4.86821417
Syria,4.720026798
Iran,4.630551106
Yemen,4.555835913
Libya,4.423920788
