Country_Name,Life_Expectancy_2010
Aruba,74.95353659
Afghanistan,58.97082927
Angola,50.65417073
Albania,77.03695122
Andorra,
Arab World,69.81455277
United Arab Emirates,76.6752439
Argentina,75.48497561
Armenia,74.22634146
American Samoa,
Antigua and Barbuda,75.30878049
Australia,81.69512195
Austria,80.5804878
Azerbaijan,70.45131707
Burundi,54.82919512
Belgium,80.18292683
Benin,58.72970732
Burkina Faso,57.05139024
Bangladesh,70.08029268
Bulgaria,73.51219512
Bahrain,76.12756098
"Bahamas, The",74.59239024
Bosnia and Herzegovina,75.80768293
Belarus,70.40487805
Belize,69.78204878
Bermuda,79.28853659
Bolivia,66.4077561
Brazil,73.26414634
Barbados,74.84529268
Brunei Darussalam,77.59826829
Bhutan,67.89241463
Botswana,63.40229268
Central African Republic,47.62531707
Canada,81.19756098
Central Europe and the Baltics,75.29534873
Switzerland,82.24634146
Channel Islands,80.01036585
Chile,80.27580488
China,75.00741463
Cote d'Ivoire,50.15146341
Cameroon,53.69482927
"Congo, Dem. Rep.",56.89614634
"Congo, Rep.",59.14312195
Colombia,73.27785366
Comoros,61.8305122
Cabo Verde,72.59790244
Costa Rica,78.73604878
Caribbean small states,72.20439793
Cuba,78.93563415
Curacao,
Cayman Islands,
Cyprus,79.38195122
Czech Republic,77.42439024
Germany,79.98780488
Djibouti,60.36068293
Dominica,
Denmark,79.1
Dominican Republic,72.74980488
Algeria,73.80404878
East Asia & Pacific (excluding high income),73.25835398
Early-demographic dividend,67.76428325
East Asia & Pacific,74.19417537
Europe & Central Asia (excluding high income),70.58115552
Europe & Central Asia,75.84230776
Ecuador,75.02980488
"Egypt, Arab Rep.",70.34029268
Euro area,80.74665821
Eritrea,61.46614634
Spain,81.62682927
Estonia,75.42926829
Ethiopia,61.29612195
European Union,79.72474907
Fragile and conflict affected situations,60.3684597
Finland,79.87073171
Fiji,69.38436585
France,81.66341463
Faroe Islands,80.63902439
"Micronesia, Fed. Sts.",68.61226829
Gabon,62.12082927
United Kingdom,80.40243902
Georgia,74.00243902
Ghana,60.60997561
Gibraltar,
Guinea,56.30504878
"Gambia, The",59.34060976
Guinea-Bissau,53.81436585
Equatorial Guinea,55.971
Greece,80.38780488
Grenada,72.5675122
Greenland,70.85707317
Guatemala,70.77546341
Guam,78.10087805
Guyana,66.04270732
High income,79.85373496
"Hong Kong SAR, China",82.97804878
Honduras,72.39397561
Heavily indebted poor countries (HIPC),58.64852064
Croatia,76.47560976
Haiti,61.24012195
Hungary,74.20731707
IBRD only,71.01786215
IDA & IBRD total,68.68141109
IDA total,61.91997561
IDA blend,62.24008575
Indonesia,68.14719512
IDA only,61.74355517
Isle of Man,
India,66.50614634
Not classified,
Ireland,80.74390244
"Iran, Islamic Rep.",73.98317073
Iraq,68.49012195
Iceland,81.89756098
Israel,81.60243902
Italy,82.03658537
Jamaica,74.8474878
Jordan,73.43582927
Japan,82.84268293
Kazakhstan,68.29536585
Kenya,58.71860976
Kyrgyz Republic,69.3
Cambodia,66.38565854
Kiribati,65.30278049
St. Kitts and Nevis,
"Korea, Rep.",80.55121951
Kuwait,74.11663415
Latin America & Caribbean (excluding high income),73.81868049
Lao PDR,64.33363415
Lebanon,78.46536585
Liberia,59.44129268
Libya,71.73739024
St. Lucia,74.47109756
Latin America & Caribbean,74.03903382
Least developed countries: UN classification,61.34564093
Low income,58.95818996
Liechtenstein,81.84146341
Sri Lanka,74.3392439
Lower middle income,66.07686884
Low & middle income,68.60978801
Lesotho,47.48341463
Late-demographic dividend,74.22571576
Lithuania,73.26829268
Luxembourg,80.63170732
Latvia,73.48292683
"Macao SAR, China",79.69039024
St. Martin (French part),78.72195122
Morocco,72.57692683
Monaco,
Moldova,69.70926829
Madagascar,63.36173171
Maldives,76.2004878
Middle East & North Africa,72.07081665
Mexico,76.02678049
Marshall Islands,
Middle income,69.64102425
