Countries,PISA Score
Australia,502
Austria,492
Belgium,503
Canada,523
Chile,443
Czech Republic,491
Denmark,504
Estonia,524
Finland,523
France,496
Germany,508
Greece,458
Hungary,474
Iceland,481
Ireland,509
Israel,472
Italy,485
Japan,529
Korea,519
Latvia,487
Luxembourg,483
Mexico,416
Netherlands,508
New Zealand,506
Norway,504
Poland,504
Portugal,497
Slovak Republic,463
Slovenia,509
Spain,491
Sweden,496
Switzerland,506
Turkey,425
United Kingdom,500
United States,488
European Union total,494
OECD total,484
OECD average,492
Albania,415
Algeria,362
Brazil,395
B-S-J-G (China),514
Bulgaria,440
CABA (Argentina),469
Colombia,410
Costa Rica,416
Croatia,475
"Cyprus1,2",438
Dominican Republic,339
FYROM,369
Georgia,405
Hong Kong (China),533
Indonesia,395
Jordan,399
Kosovo,362
Lebanon,376
Lithuania,475
Macao (China),527
Malta,463
Moldova,421
Montenegro,419
Peru,394
Qatar,407
Romania,437
Russia,492
Singapore,552
Chinese Taipei,524
Thailand,415
Trinidad and Tobago,423
Tunisia,371
United Arab Emirates,433
Uruguay,430
Viet Nam,502
Argentina,422
Kazakhstan,448
Malaysia,440
