Country_Name,Unemployment_Percentage_1995
Aruba,
Afghanistan,0.601999998
Angola,6.93900013
Albania,14.71100044
Andorra,
Arab World,14.69617891
United Arab Emirates,1.799999952
Argentina,18.79999924
Armenia,17.95899963
American Samoa,
Antigua and Barbuda,
Australia,8.468999863
Austria,4.347000122
Azerbaijan,4.638000011
Burundi,1.577000022
Belgium,9.338999748
Benin,0.93599999
Burkina Faso,2.569999933
Bangladesh,3.604000092
Bulgaria,15.69999981
Bahrain,1.330000043
"Bahamas, The",11.10000038
Bosnia and Herzegovina,18.8579998
Belarus,0.629999995
Belize,12.5
Bermuda,
Bolivia,3.690000057
Brazil,9.907999992
Barbados,19.70000076
Brunei Darussalam,4.34800005
Bhutan,1.368999958
Botswana,21.68700027
Central African Republic,6.75
Canada,9.5
Central Europe and the Baltics,10.83326874
Switzerland,3.326999903
Channel Islands,8.758000374
Chile,4.699999809
China,4.550000191
Cote d'Ivoire,9.255999565
Cameroon,4.255000114
"Congo, Dem. Rep.",3.648999929
"Congo, Rep.",10.34500027
Colombia,8.699999809
Comoros,20.25099945
Cabo Verde,10.99400043
Costa Rica,5.176000118
Caribbean small states,15.30476845
Cuba,8.300000191
Curacao,
Cayman Islands,
Cyprus,8.767000198
Czech Republic,4.024000168
Germany,8.157999992
Djibouti,6.995999813
Dominica,
Denmark,6.992000103
Dominican Republic,15.80000019
Algeria,27.89999962
East Asia & Pacific (excluding high income),4.253907133
Early-demographic dividend,5.745752903
East Asia & Pacific,4.178062553
Europe & Central Asia (excluding high income),8.781024612
Europe & Central Asia,9.827427087
Ecuador,6.900000095
"Egypt, Arab Rep.",11.30000019
Euro area,11.41418631
Eritrea,7.664000034
Spain,22.67499924
Estonia,9.659000397
Ethiopia,5.43200016
European Union,10.79800087
Fragile and conflict affected situations,6.125171961
Finland,17.00499916
Fiji,5.400000095
France,12.03999996
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,18.96100044
United Kingdom,8.694000244
Georgia,11.1260004
Ghana,7.804999828
Gibraltar,
Guinea,6.747000217
"Gambia, The",29.35300064
Guinea-Bissau,6.68200016
Equatorial Guinea,6.538000107
Greece,9.062000275
Grenada,
Greenland,
Guatemala,2.694999933
Guam,7.900000095
Guyana,11.14299965
High income,7.543443057
"Hong Kong SAR, China",3.220000029
Honduras,3.24000001
Heavily indebted poor countries (HIPC),6.553944343
Croatia,10.44799995
Haiti,12.20899963
Hungary,10.16800022
IBRD only,5.977595994
IDA & IBRD total,5.887123988
IDA total,5.518942362
IDA blend,5.168749011
Indonesia,3.618999958
IDA only,5.700763217
Isle of Man,
India,3.973999977
Not classified,
Ireland,11.9829998
"Iran, Islamic Rep.",11.73799992
Iraq,17.32799911
Iceland,5.196000099
Israel,8.781999588
Italy,11.66899967
Jamaica,16.20000076
Jordan,14.60000038
Japan,3.200000048
Kazakhstan,11
Kenya,9.633999825
Kyrgyz Republic,8.55700016
Cambodia,1.284999967
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",2.062999964
Kuwait,2.130000114
Latin America & Caribbean (excluding high income),9.471011556
Lao PDR,2.599999905
Lebanon,8.020999908
Liberia,4.328999996
Libya,19.17099953
St. Lucia,15.89999962
Latin America & Caribbean,9.399378577
Least developed countries: UN classification,5.258330066
Low income,5.382788584
Liechtenstein,
Sri Lanka,12.19999981
Lower middle income,5.109420497
Low & middle income,5.821842846
Lesotho,34.86800003
Late-demographic dividend,5.823900624
Lithuania,17.5
Luxembourg,2.917999983
Latvia,8.095000267
"Macao SAR, China",3.599999905
St. Martin (French part),
Morocco,22.89999962
Monaco,
Moldova,6.388000011
Madagascar,2.104000092
Maldives,0.790000021
Middle East & North Africa,14.13347544
Mexico,6.885000229
Marshall Islands,
Middle income,5.857486854
"Macedonia, FYR",31.25900078
Mali,7.375999928
Malta,6.703999996
Myanmar,0.897000015
Middle East & North Africa (excluding high income),15.46340558
Montenegro,19.88800049
Mongolia,5.5
Northern Mariana Islands,
Mozambique,23.55400085
Mauritania,14.61600018
Mauritius,9.590000153
Malawi,6.968999863
Malaysia,3.099999905
North America,5.986055106
Namibia,19.46500015
New Caledonia,18.35300064
Niger,5.099999905
Nigeria,6.250999928
Nicaragua,16.89999962
Netherlands,7.157000065
Norway,6.30700016
Nepal,3.173000097
Nauru,
New Zealand,6.461999893
OECD members,7.491501013
Oman,16.79899979
Other small states,14.81628122
Pakistan,5.03000021
Panama,14
Peru,6.44299984
Philippines,8.359999657
Palau,
Papua New Guinea,2.657000065
Poland,13.3380003
Pre-demographic dividend,7.074490195
Puerto Rico,13.93000031
"Korea, Dem. PeopleÅEs Rep.",5.209000111
Portugal,7.06400013
Paraguay,3.400000095
West Bank and Gaza,21.5739994
Pacific island small states,11.46544069
Post-demographic dividend,7.244568612
French Polynesia,13.79699993
Qatar,0.324999988
Romania,8
Russian Federation,9.449000359
Rwanda,0.799000025
South Asia,4.081433584
Saudi Arabia,5.90500021
Sudan,14.64299965
Senegal,8.906999588
Singapore,3.299999952
Solomon Islands,32.10800171
Sierra Leone,2.874000072
El Salvador,7.599999905
San Marino,
Somalia,6.636000156
Serbia,13.39999962
Sub-Saharan Africa (excluding high income),7.591617656
South Sudan,
Sub-Saharan Africa,7.591617656
Small states,14.75038757
Sao Tome and Principe,11.87100029
Suriname,8.399999619
Slovak Republic,13.10900021
Slovenia,7.150000095
Sweden,8.897000313
Swaziland,21.70000076
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,7.199999809
Turks and Caicos Islands,
Chad,5.606999874
East Asia & Pacific (IDA & IBRD countries),4.239976896
Europe & Central Asia (IDA & IBRD countries),9.20783259
Togo,7.232999802
Thailand,1.139999986
Tajikistan,10.73400021
Turkmenistan,8.852999687
Latin America & the Caribbean (IDA & IBRD countries),9.387038907
Timor-Leste,4.927000046
Middle East & North Africa (IDA & IBRD countries),15.41822021
Tonga,5.106999874
South Asia (IDA & IBRD),4.081433584
Sub-Saharan Africa (IDA & IBRD countries),7.591617656
Trinidad and Tobago,17.21999931
Tunisia,13.17800045
Turkey,7.644000053
Tuvalu,
Tanzania,3.459000111
Uganda,1.904000044
Ukraine,5.599999905
Upper middle income,6.413821669
Uruguay,10.02000046
United States,5.599999905
Uzbekistan,8.94299984
St. Vincent and the Grenadines,20.38800049
"Venezuela, RB",10.19999981
British Virgin Islands,
Virgin Islands (U.S.),9.762999535
Vietnam,2.14199996
Vanuatu,5.729000092
World,6.153411123
Samoa,5.447999954
Kosovo,
"Yemen, Rep.",15.08399963
South Africa,16.89999962
Zambia,17.43199921
Zimbabwe,5.513999939
