Country_Name,Unemployment_Percentage_2015
Aruba,
Afghanistan,8.515999794
Angola,6.671000004
Albania,17.07999992
Andorra,
Arab World,11.58808253
United Arab Emirates,3.805000067
Argentina,6.622000217
Armenia,17.0340004
American Samoa,
Antigua and Barbuda,
Australia,6.059999943
Austria,5.72300005
Azerbaijan,4.960000038
Burundi,1.61500001
Belgium,8.482000351
Benin,1.019999981
Burkina Faso,3.084000111
Bangladesh,4.123000145
Bulgaria,9.142999649
Bahrain,1.230000019
"Bahamas, The",16.07799911
Bosnia and Herzegovina,26.26000023
Belarus,0.510999978
Belize,9.970000267
Bermuda,
Bolivia,3.503000021
Brazil,8.520999908
Barbados,11.35000038
Brunei Darussalam,1.860000014
Bhutan,2.450000048
Botswana,17.8560009
Central African Republic,6.764999866
Canada,6.900000095
Central Europe and the Baltics,7.813298518
Switzerland,4.548999786
Channel Islands,8.847000122
Chile,6.212999821
China,4.585000038
Cote d'Ivoire,9.340000153
Cameroon,4.366000175
"Congo, Dem. Rep.",3.665999889
"Congo, Rep.",10.61800003
Colombia,8.953000069
Comoros,19.87899971
Cabo Verde,10.46500015
Costa Rica,9.612999916
Caribbean small states,11.02847506
Cuba,2.907000065
Curacao,
Cayman Islands,
Cyprus,14.90799999
Czech Republic,5.046000004
Germany,4.624000072
Djibouti,6.598999977
Dominica,
Denmark,6.168000221
Dominican Republic,14.39700031
Algeria,11.0010004
East Asia & Pacific (excluding high income),4.387756961
Early-demographic dividend,5.573385552
East Asia & Pacific,4.330000405
Europe & Central Asia (excluding high income),7.743365667
Europe & Central Asia,8.611737172
Ecuador,4.769999981
"Egypt, Arab Rep.",12.84000015
Euro area,10.81451364
Eritrea,7.184000015
Spain,22.05699921
Estonia,6.186999798
Ethiopia,5.274000168
European Union,9.362299414
Fragile and conflict affected situations,6.951048856
Finland,9.376000404
Fiji,8.220000267
France,10.35900021
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,19.11000061
United Kingdom,5.301000118
Georgia,11.96000004
Ghana,5.537000179
Gibraltar,
Guinea,6.90199995
"Gambia, The",29.57299995
Guinea-Bissau,6.545000076
Equatorial Guinea,6.955999851
Greece,24.89699936
Grenada,
Greenland,
Guatemala,2.420000076
Guam,11.07999992
Guyana,11.60200024
High income,6.767857269
"Hong Kong SAR, China",3.279999971
Honduras,7.380000114
Heavily indebted poor countries (HIPC),6.14031814
Croatia,16.27700043
Haiti,13.48999977
Hungary,6.813000202
IBRD only,5.547679722
IDA & IBRD total,5.518697418
IDA total,5.427753271
IDA blend,4.591149127
Indonesia,5.989999771
IDA only,5.859799568
