Country_Name,World Risk Index_2015
Vanuatu,36.28
Tonga,29.33
Philippines,26.7
Guatemala,19.88
Bangladesh,19.17
Solomon Islands,19.14
Brunei Darussalam,17
Costa Rica,17
Cambodia,16.58
Papua New Guinea,16.43
El Salvador,16.05
Timor-Leste,15.69
Mauritius,15.53
Nicaragua,14.62
Guinea-Bissau,13.56
Fiji,13.15
Japan,12.99
Viet Nam,12.53
Gambia,12.07
Jamaica,11.83
Haiti,11.68
Chile,11.65
Benin,11.39
Guyana,11.39
Niger,11.24
Madagascar,11.15
Dominican Republic,10.96
Cameroon,10.91
Chad,10.85
Honduras,10.68
Cape Verde,10.39
Senegal,10.38
Togo,10.36
Djibouti,10.3
Burundi,10.28
Indonesia,10.24
Sierra Leone,10.21
Zimbabwe,10.06
Burkina Faso,9.54
Albania,9.5
Afghanistan,9.5
Myanmar,8.9
Cote d'Ivoire,8.88
Mozambique,8.69
Uzbekistan,8.59
Suriname,8.44
Ghana,8.39
Mali,8.39
Netherlands,8.24
Guinea,8.2
Sudan,7.99
Nigeria,7.98
Malawi,7.98
Mauritania,7.95
Kyrgyzstan,7.86
Liberia,7.84
United Republic of Tanzania,7.65
Ecuador,7.53
Swaziland,7.52
Bhutan,7.51
Trinidad and Tobago,7.5
Algeria,7.36
Sri Lanka,7.32
Comoros,7.29
Panama,7.26
Zambia,7.25
Congo,7.19
Serbia,7.12
Rwanda,7.09
Ethiopia,7.04
Central African Republic,7.03
Pakistan,6.96
Lesotho,6.84
Kenya,6.77
Tajikistan,6.72
Greece,6.7
India,6.64
Peru,6.59
Belize,6.55
Uganda,6.52
Angola,6.52
Morocco,6.45
Colombia,6.45
Turkmenistan,6.44
China,6.39
Malaysia,6.39
Eritrea,6.35
Georgia,6.27
Thailand,6.19
Cuba,6.13
Bosnia and Herzegovina,6.1
Armenia,6.07
Gabon,6.04
Yemen,5.97
Mexico,5.97
Venezuela,5.93
Romania,5.92
The former Yugoslav Republic of Macedonia,5.87
Syrian Arab Republic,5.69
Lao People's Democratic Republic,5.59
South Africa,5.58
Azerbaijan,5.54
Tunisia,5.4
Namibia,5.37
Hungary,5.32
Turkey,5.2
Botswana,5.14
Nepal,5.12
Lebanon,5.01
Republic of Moldova,4.79
Iran (Islamic Republic of),4.73
Ireland,4.6
"Korea, Republic of",4.59
Bolivia,4.58
Jordan,4.58
New Zealand,4.55
Iraq,4.49
Equatorial Guinea,4.46
Italy,4.42
Bulgaria,4.22
Australia,4.22
Bahamas,4.14
Brazil,4.09
Uruguay,4.03
Croatia,3.97
Libyan Arab Jamahiriya,3.79
United States,3.76
Russia,3.58
Argentina,3.56
Kazakhstan,3.56
United Kingdom,3.54
Paraguay,3.48
Portugal,3.45
Slovenia,3.41
Austria,3.39
Slovakia,3.39
Czech Republic,3.37
Latvia,3.31
Kuwait,3.28
Poland,3.2
Belarus,3.11
Mongolia,3.08
Belgium,3.07
Spain,3.05
Canada,3.01
Ukraine,2.97
Germany,2.95
Lithuania,2.92
Denmark,2.89
Cyprus,2.68
Oman,2.64
France,2.62
Seychelles,2.55
Luxembourg,2.43
Switzerland,2.37
Estonia,2.36
Israel,2.3
Egypt,2.29
Singapore,2.27
Finland,2.21
Norway,2.19
Sweden,2.12
United Arab Emirates,1.97
Kiribati,1.78
Bahrain,1.69
Iceland,1.52
Grenada,1.42
Barbados,1.32
Saudi Arabia,1.14
Malta,0.6
Qatar,0.08
